DATE,미국 신규 실업수당 청구건수
1967-01-07,1134000
1967-01-14,1119000
1967-01-21,1119000
1967-01-28,1103000
1967-02-04,1131000
1967-02-11,1153000
1967-02-18,1167000
1967-02-25,1199000
1967-03-04,1235000
1967-03-11,1234000
1967-03-18,1236000
1967-03-25,1268000
1967-04-01,1291000
1967-04-08,1273000
1967-04-15,1278000
1967-04-22,1277000
1967-04-29,1286000
1967-05-06,1308000
1967-05-13,1284000
1967-05-20,1265000
1967-05-27,1253000
1967-06-03,1265000
1967-06-10,1251000
1967-06-17,1248000
1967-06-24,1220000
1967-07-01,1193000
1967-07-08,1248000
1967-07-15,1258000
1967-07-22,1252000
1967-07-29,1280000
1967-08-05,1240000
1967-08-12,1215000
1967-08-19,1202000
1967-08-26,1180000
1967-09-02,1204000
1967-09-09,1189000
1967-09-16,1179000
1967-09-23,1178000
1967-09-30,1157000
1967-10-07,1165000
1967-10-14,1189000
1967-10-21,1174000
1967-10-28,1161000
1967-11-04,1176000
1967-11-11,1142000
1967-11-18,1133000
1967-11-25,1142000
1967-12-02,1150000
1967-12-09,1153000
1967-12-16,1188000
1967-12-23,1195000
1967-12-30,1167000
1968-01-06,1158000
1968-01-13,1187000
1968-01-20,1191000
1968-01-27,1157000
1968-02-03,1173000
1968-02-10,1175000
1968-02-17,1143000
1968-02-24,1165000
1968-03-02,1151000
1968-03-09,1147000
1968-03-16,1143000
1968-03-23,1136000
1968-03-30,1119000
1968-04-06,1079000
1968-04-13,1079000
1968-04-20,1059000
1968-04-27,1087000
1968-05-04,1079000
1968-05-11,1091000
1968-05-18,1071000
1968-05-25,1073000
1968-06-01,1063000
1968-06-08,1097000
1968-06-15,1071000
1968-06-22,1060000
1968-06-29,1038000
1968-07-06,1097000
1968-07-13,1076000
1968-07-20,1033000
1968-07-27,1036000
1968-08-03,1072000
1968-08-10,1088000
1968-08-17,1107000
1968-08-24,1094000
1968-08-31,1064000
1968-09-07,1067000
1968-09-14,1044000
1968-09-21,1047000
1968-09-28,1048000
1968-10-05,1060000
1968-10-12,1045000
1968-10-19,1035000
1968-10-26,1033000
1968-11-02,1028000
1968-11-09,1028000
1968-11-16,1076000
1968-11-23,1023000
1968-11-30,1056000
1968-12-07,1063000
1968-12-14,1061000
1968-12-21,1063000
1968-12-28,1116000
1969-01-04,1118000
1969-01-11,1099000
1969-01-18,1072000
1969-01-25,1077000
1969-02-01,1099000
1969-02-08,1088000
1969-02-15,1115000
1969-02-22,1092000
1969-03-01,1098000
1969-03-08,1099000
1969-03-15,1080000
1969-03-22,1071000
1969-03-29,1041000
1969-04-05,1076000
1969-04-12,1050000
1969-04-19,1025000
1969-04-26,992000
1969-05-03,1003000
1969-05-10,1018000
1969-05-17,1007000
1969-05-24,1006000
1969-05-31,988000
1969-06-07,992000
1969-06-14,1010000
1969-06-21,1012000
1969-06-28,1021000
1969-07-05,1072000
1969-07-12,1092000
1969-07-19,1072000
1969-07-26,1110000
1969-08-02,1126000
1969-08-09,1093000
1969-08-16,1067000
1969-08-23,1060000
1969-08-30,1074000
1969-09-06,1111000
1969-09-13,1082000
1969-09-20,1083000
1969-09-27,1086000
1969-10-04,1103000
1969-10-11,1100000
1969-10-18,1118000
1969-10-25,1136000
1969-11-01,1143000
1969-11-08,1146000
1969-11-15,1181000
1969-11-22,1158000
1969-11-29,1211000
1969-12-06,1226000
1969-12-13,1233000
1969-12-20,1252000
1969-12-27,1304000
1970-01-03,1332000
1970-01-10,1353000
1970-01-17,1371000
1970-01-24,1388000
1970-01-31,1385000
1970-02-07,1397000
1970-02-14,1445000
1970-02-21,1412000
1970-02-28,1430000
1970-03-07,1443000
1970-03-14,1456000
1970-03-21,1498000
1970-03-28,1537000
1970-04-04,1573000
1970-04-11,1586000
1970-04-18,1653000
1970-04-25,1748000
1970-05-02,1811000
1970-05-09,1847000
1970-05-16,1840000
1970-05-23,1827000
1970-05-30,1807000
1970-06-06,1817000
1970-06-13,1852000
1970-06-20,1864000
1970-06-27,1866000
1970-07-04,1853000
1970-07-11,1868000
1970-07-18,1877000
1970-07-25,1918000
1970-08-01,1900000
1970-08-08,1890000
1970-08-15,1933000
1970-08-22,1970000
1970-08-29,2005000
1970-09-05,1996000
1970-09-12,2068000
1970-09-19,2069000
1970-09-26,2092000
1970-10-03,2164000
1970-10-10,2207000
1970-10-17,2210000
1970-10-24,2257000
1970-10-31,2233000
1970-11-07,2279000
1970-11-14,2343000
1970-11-21,2285000
1970-11-28,2292000
1970-12-05,2276000
1970-12-12,2193000
1970-12-19,2224000
1970-12-26,2147000
1971-01-02,2102000
1971-01-09,2124000
1971-01-16,2100000
1971-01-23,2091000
1971-01-30,2086000
1971-02-06,2120000
1971-02-13,2079000
1971-02-20,2120000
1971-02-27,2081000
1971-03-06,2132000
1971-03-13,2126000
1971-03-20,2140000
1971-03-27,2157000
1971-04-03,2135000
1971-04-10,2156000
1971-04-17,2163000
1971-04-24,2127000
1971-05-01,2157000
1971-05-08,2179000
1971-05-15,2179000
1971-05-22,2167000
1971-05-29,2171000
1971-06-05,2194000
1971-06-12,2199000
1971-06-19,2182000
1971-06-26,2172000
1971-07-03,2116000
1971-07-10,2130000
1971-07-17,2087000
1971-07-24,2129000
1971-07-31,2150000
1971-08-07,2174000
1971-08-14,2202000
1971-08-21,2186000
1971-08-28,2188000
1971-09-04,2228000
1971-09-11,2250000
1971-09-18,2246000
1971-09-25,2233000
1971-10-02,2216000
1971-10-09,2247000
1971-10-16,2190000
1971-10-23,2176000
1971-10-30,2194000
1971-11-06,2204000
1971-11-13,2134000
1971-11-20,2134000
1971-11-27,2111000
1971-12-04,2117000
1971-12-11,2085000
1971-12-18,2109000
1971-12-25,2037000
1972-01-01,1934000
1972-01-08,1931000
1972-01-15,1923000
1972-01-22,1907000
1972-01-29,1921000
1972-02-05,1941000
1972-02-12,1960000
1972-02-19,1902000
1972-02-26,1903000
1972-03-04,1905000
1972-03-11,1906000
1972-03-18,1907000
1972-03-25,1877000
1972-04-01,1913000
1972-04-08,1910000
1972-04-15,1891000
1972-04-22,1855000
1972-04-29,1870000
1972-05-06,1893000
1972-05-13,1874000
1972-05-20,1863000
1972-05-27,1871000
1972-06-03,1857000
1972-06-10,1870000
1972-06-17,1855000
1972-06-24,1871000
1972-07-01,1935000
1972-07-08,1977000
1972-07-15,1947000
1972-07-22,1962000
1972-07-29,1928000
1972-08-05,1855000
1972-08-12,1812000
1972-08-19,1794000
1972-08-26,1792000
1972-09-02,1838000
1972-09-09,1802000
1972-09-16,1799000
1972-09-23,1791000
1972-09-30,1763000
1972-10-07,1771000
1972-10-14,1760000
1972-10-21,1733000
1972-10-28,1750000
1972-11-04,1722000
1972-11-11,1736000
1972-11-18,1727000
1972-11-25,1743000
1972-12-02,1676000
1972-12-09,1681000
1972-12-16,1756000
1972-12-23,1697000
1972-12-30,1663000
1973-01-06,1617000
1973-01-13,1660000
1973-01-20,1607000
1973-01-27,1601000
1973-02-03,1596000
1973-02-10,1594000
1973-02-17,1582000
1973-02-24,1582000
1973-03-03,1579000
1973-03-10,1584000
1973-03-17,1578000
1973-03-24,1562000
1973-03-31,1547000
1973-04-07,1552000
1973-04-14,1539000
1973-04-21,1573000
1973-04-28,1551000
1973-05-05,1560000
1973-05-12,1557000
1973-05-19,1553000
1973-05-26,1567000
1973-06-02,1556000
1973-06-09,1563000
1973-06-16,1576000
1973-06-23,1570000
1973-06-30,1571000
1973-07-07,1605000
1973-07-14,1605000
1973-07-21,1594000
1973-07-28,1603000
1973-08-04,1633000
1973-08-11,1679000
1973-08-18,1672000
1973-08-25,1675000
1973-09-01,1681000
1973-09-08,1688000
1973-09-15,1666000
1973-09-22,1658000
1973-09-29,1658000
1973-10-06,1657000
1973-10-13,1679000
1973-10-20,1646000
1973-10-27,1675000
1973-11-03,1669000
1973-11-10,1702000
1973-11-17,1698000
1973-11-24,1755000
1973-12-01,1692000
1973-12-08,1717000
1973-12-15,1779000
1973-12-22,1836000
1973-12-29,1805000
1974-01-05,1934000
1974-01-12,1949000
1974-01-19,1995000
1974-01-26,1950000
1974-02-02,1963000
1974-02-09,2010000
1974-02-16,2049000
1974-02-23,2027000
1974-03-02,2020000
1974-03-09,2054000
1974-03-16,2068000
1974-03-23,2074000
1974-03-30,2062000
1974-04-06,2066000
1974-04-13,2072000
1974-04-20,2081000
1974-04-27,2045000
1974-05-04,2056000
1974-05-11,2041000
1974-05-18,2053000
1974-05-25,2057000
1974-06-01,2079000
1974-06-08,2067000
1974-06-15,2095000
1974-06-22,2066000
1974-06-29,2074000
1974-07-06,2160000
1974-07-13,2125000
1974-07-20,2109000
1974-07-27,2097000
1974-08-03,2147000
1974-08-10,2171000
1974-08-17,2168000
1974-08-24,2172000
1974-08-31,2211000
1974-09-07,2265000
1974-09-14,2274000
1974-09-21,2273000
1974-09-28,2306000
1974-10-05,2360000
1974-10-12,2396000
1974-10-19,2519000
1974-10-26,2520000
1974-11-02,2623000
1974-11-09,2699000
1974-11-16,2862000
1974-11-23,2748000
1974-11-30,3086000
1974-12-07,3178000
1974-12-14,3291000
1974-12-21,3300000
1974-12-28,3396000
1975-01-04,3554000
1975-01-11,3557000
1975-01-18,3658000
1975-01-25,3708000
1975-02-01,3738000
1975-02-08,3856000
1975-02-15,3863000
1975-02-22,3969000
1975-03-01,4023000
1975-03-08,4147000
1975-03-15,4195000
1975-03-22,4201000
1975-03-29,4310000
