,DATE,Open,High,Low,Close,Adj Close,경상수지,EXKOUS,통화량,LM3DN,LM3DN_pred
111,2016-06-01,1976.869995,2035.27002,1892.75,1970.3499760000002,1970.3499760000002,11122.8,1181.573,2296468382.0,1,1
112,2016-07-01,1977.359985,2030.689941,1944.3299559999998,2016.189941,2016.189941,4184.3,1145.7967,2295348038.0,0,0
113,2016-08-01,2024.709961,2063.090088,1993.0,2034.6500239999998,2034.6500239999998,10491.0,1173.7905,2317399522.0,0,1
114,2016-09-01,2022.959961,2073.889893,1991.469971,2043.630005,2043.630005,12409.7,1165.2023,2337560940.0,0,1
115,2016-10-01,2056.939941,2070.429932,2002.290039,2008.189941,2008.189941,8831.8,1140.865,2363007374.0,0,1
116,2016-11-01,2003.410034,2015.22998,1931.069946,1983.47998,1983.47998,5410.1,1110.0183,2380861994.0,1,1
117,2016-12-01,1987.47998,2053.459961,1960.6500239999998,2026.459961,2026.459961,7517.5,1108.3638,2380204896.0,0,1
118,2017-01-01,2034.310059,2091.02002,2028.469971,2067.570068,2067.570068,7476.8,1128.1660000000002,2393177976.0,0,1
119,2017-02-01,2075.310059,2108.98999,2052.290039,2091.639893,2091.639893,7873.3,1162.708,2404426392.0,0,0
120,2017-03-01,2105.189941,2182.419922,2067.679932,2160.22998,2160.22998,7361.5,1183.07,2407459074.0,0,0
121,2017-04-01,2166.040039,2217.040039,2117.820068,2205.439941,2205.439941,3401.7,1179.1074,2401547870.0,0,0
122,2017-05-01,2213.610107,2371.669922,2212.8701170000004,2347.3798829999996,2347.3798829999996,7438.6,1140.4874,2427078122.0,0,0
123,2017-06-01,2348.310059,2402.800049,2335.6298829999996,2391.790039,2391.790039,5140.3,1133.8617,2438307010.0,0,0
124,2017-07-01,2397.659912,2453.169922,2372.830078,2402.709961,2402.709961,3184.0,1134.1755,2446383473.0,0,0
125,2017-08-01,2397.1201170000004,2434.469971,2310.199951,2363.189941,2363.189941,4262.1,1125.1359,2449939420.0,1,1
126,2017-09-01,2367.449951,2429.1201170000004,2314.310059,2394.469971,2394.469971,7008.9,1130.8464,2463832725.0,0,0
127,2017-10-01,2425.6298829999996,2528.320068,2421.100098,2523.429932,2523.429932,7467.4,1131.746,2469631034.0,0,0
128,2017-11-01,2535.969971,2561.6298829999996,2474.280029,2476.3701170000004,2476.3701170000004,6139.4,1130.27,2483578663.0,0,1
129,2017-12-01,2488.919922,2514.610107,2411.47998,2467.48999,2467.48999,12337.7,1131.599,2510203656.0,1,1
130,2018-01-01,2474.860107,2607.100098,2465.939941,2566.459961,2566.459961,6890.0,1130.8838,2502994751.0,0,0
131,2018-02-01,2578.909912,2583.73999,2346.72998,2427.360107,2427.360107,7474.3,1099.7945,2522962910.0,1,1
132,2018-03-01,2406.570068,2508.709961,2374.800049,2445.850098,2445.850098,4486.5,1082.902,2530353622.0,0,1
133,2018-04-01,2454.719971,2515.3798829999996,2405.909912,2515.3798829999996,2515.3798829999996,2644.6,1065.641,2554843679.0,0,1
134,2018-05-01,2515.75,2516.570068,2399.580078,2423.01001,2423.01001,3904.7,1078.4747,2569313283.0,1,1
135,2018-06-01,2419.6298829999996,2479.560059,2296.389893,2326.1298829999996,2326.1298829999996,5103.9,1069.9418,2584208418.0,1,1
136,2018-07-01,2322.22998,2327.590088,2243.899902,2295.26001,2295.26001,1355.7,1068.0452,2584177092.0,1,1
137,2018-08-01,2301.169922,2322.8798829999996,2218.090088,2322.8798829999996,2322.8798829999996,8434.5,1076.6595,2609834777.0,1,1
138,2018-09-01,2317.929932,2356.6201170000004,2264.899902,2343.070068,2343.070068,7457.9,1094.3552,2632341084.0,0,1
139,2018-10-01,2349.639893,2352.110107,1985.949951,2029.689941,2029.689941,8552.3,1122.2029,2634789920.0,1,1
140,2018-11-01,2035.109985,2136.73999,2023.430054,2096.860107,2096.860107,8550.2,1120.427,2642505077.0,0,1
141,2018-12-01,2127.780029,2136.639893,2014.280029,2041.040039,2041.040039,11013.0,1119.82,2661729349.0,1,1
142,2019-01-01,2050.550049,2222.8798829999996,1984.530029,2204.850098,2204.850098,9348.8,1131.615,2682252608.0,1,1
143,2019-02-01,2211.929932,2241.76001,2167.360107,2195.439941,2195.439941,5223.6,1125.345,2687142972.0,0,1
144,2019-03-01,2210.969971,2216.02002,2120.929932,2140.669922,2140.669922,4819.3,1122.4244,2700362359.0,1,1
145,2019-04-01,2153.310059,2252.050049,2153.310059,2203.590088,2203.590088,2824.9,1120.33,2712849584.0,0,1
146,2019-05-01,2192.939941,2217.030029,2016.25,2041.7399899999998,2041.7399899999998,3601.9,1121.8333,2739656061.0,1,1
147,2019-06-01,2031.030029,2141.27002,2029.1700440000002,2130.6201170000004,2130.6201170000004,4819.6,1131.6005,2763165160.0,0,0
148,2019-07-01,2147.23999,2147.23999,2052.030029,2066.26001,2066.26001,-664.8,1142.165,,1,1
